"name_common","assettype","assetnote","discipline","discipline_note","live_music","event_venue","coa_facili","web_notes","website","zip","councildistrict","date_updat","map_list","source","location_1"
"Austin Center For Design","Education","Education, Creative Learning, Professional Development","Technology"," cad"," "," "," ","Austin Center for Design, an educational program in Austin, Texas, is a unique school intended to help you develop autonomy through design.","http://www.ac4d.com","78702","1","2014","map","SIAP","1408 Cotton St
Austin, TX 
(30.271966, -97.724222)"
"Sending Solidarity","Organization","Community Development & Charitable Giving","Literary Arts"," "," "," "," ","Sending Solidarity educates and empowers juveniles incarcerated in adult institutions by providing them literature, an outlet for creative writing and arts, and fosters connection between the community and the incarcerated.","http://www.sendingsolidarity.org/?page_id=23","78702","1","2014","map","SIAP","3121 E 12Th St
Austin, TX 
(30.276343, -97.701969)"
"Arts @ the Y Oak Hill Artist Collective","Organization","Arts Collective","Multidisciplinary"," "," "," "," ","Arts @ the Y is an artist collective from the Oak Hill area southwest of downtown Austin. Members include painters, potters, jewelers, mixed media artists, musicians and more.
","http://tinyurl.com/The-Y-Arts","0","0","2016","list","NPA_org","(0.0, 0.0)"
"Fantastic Fest","Event/ Festival","Event/ Festival","Film/TV/Media"," Festival"," "," "," ","Fantastic Fest is the largest genre film festival in the U.S., specializing in horror, fantasy, sci-fi, action and just plain fantastic movies from all around the world.","http://www.fantasticfest.com/","0","0","2016","list","NPA_org","(0.0, 0.0)"
"Invincible Czars","Organization","Band, Musical Group, Ensemble","Music"," "," "," "," ","The Invincible Czars are a hard-to-classify quintet from Austin, TX. (They're not even always a quintet.) Regarded as Austin's emperors of eclecticism, they make music for thinkers, geeks, nerds and seekers/lovers of all things in the ""other"" category. T","http://www.invincibleczars.com/","0","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"Musicians Woodshed","Business","Service & Support Business","Music"," Music"," "," "," "," "," ","78738","0","2014","map","SIAP","3698 Ranch Road 620 S
Austin, TX 
(30.317041, -97.950204)"
"Secondhand Theatre","Organization","Theater Company","Theater Arts"," "," "," "," ","A company of six Masters of Fine Arts actors from the University of Texas."," ","78751","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"Samba Soul Band","Organization","Band, Musical Group, Ensemble","Music"," "," "," "," ","We are a dynamic group of musicians bringing the best of Brazilian Samba and Pagode music to the Houston community. Our band is comprised of the following members:  -Claudia Lima (vocal) -João Poupard (vocal and guitar) -Augusto Gaioso (percussion","http://www.samba-soul.com","77079","0","2016","list","NPA_org","
, TX 
(0.0, 0.0)"
"Epistrophy Arts","Organization","Production Company","Music"," "," "," "," ","Epistrophy Arts is a grass-roots cultural organization dedicated to presenting the finest adventurous and improvised music in Austin Texas. Since January of 1998 we have presented over 50 concerts with some of the major figures in international contempor","http://www.epistrophyarts.org/","0","0","2016","list","NPA_org","(0.0, 0.0)"
"Travis-Williamson Counties Czech Heritage Society","Organization","Cultural Heritage, Ethnicity, and Religious Groups","Other"," Ethnic Heritage Group"," "," "," "," "," ","78766","0","2014","list","SIAP","
Austin, TX 
(0.0, 0.0)"
"Chorus Austin","Organization","Band, Musical Group, Ensemble","Music"," "," "," "," ","Chorus Austin is a non-profit umbrella organization proudly representing and managing the artistic productions of the award winning Austin Civic Chorus (ACC), Austin Vocal Arts Ensemble (AVAE), and the Chorus Austin Consort.   Chorus Austin's new music d","http://www.chorusaustin.org","78720","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"Curtis Photography By Walker","Business","Photographer/ Photo Studio","Photography"," Photo"," "," "," "," "," ","78723","0","2014","list","SIAP","7301 Meadowwood Dr
Austin, TX 
(0.0, 0.0)"
"Episcopal Church of the Holy Spirit","House of Worship","House of Worship","Other"," House of Worship"," "," "," ","Episcopal Church of the Holy Spirit is a friendly, family-oriented church located just west of Austin in the town of Dripping Springs. The church hosts a variety of community and cultural events.","http://dsholyspirit.com","78620","0","2016","map","NPA_ven","301 Hayes County Acres
Austin, TX 
(30.191596, -98.041584)"
"Shay Ishii Dance Company","Organization","Dance Company","Dance"," "," "," "," ","The Shay Ishii Dance Company is committed to creating and presenting dance as an artistic experience that moves and inspires its audience. Their vision is to create dance that is sheer beauty, dance that is enlightening, dance that is an experience in tr","http://www.shayishiidanceco.com/blog/","78733","0","2016","map","NPA_org","2312 Bahama Drive
Austin, TX 
(30.347021, -97.865852)"
"NANO Fiction","Publication","Print Publication","Film/TV/Media"," MEdia"," "," "," ","Founded in 2006 by Kirby Johnson, NANO Fiction is a non-profit literary journal that seeks to cultivate the genre of flash fiction by creating opportunities for emerging writers to achieve national recognition through our website, print publication, and","http://nanofiction.org","78712","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"Alpha Graphics","Business","Commercial Printing","Graphic Design, Printmaking"," Printing"," "," "," "," "," ","78746","8","2014","map","SIAP","3267 Bee Caves Rd
Austin, TX 
(30.274338, -97.800824)"
"African American Technical Resource Center (A-TRC)","Organization","Cultural Heritage, Ethnicity, and Religious Groups","Multidisciplinary"," "," "," "," ","The African American Technical Resource Center (AAATRC) was founded in 2001 by Boyd Vance, then director of ProArts Collective. AAATRC was founded to specifically assist Black artists develop programs for the Austin community. Continuing as a special pro","http://www.a-trc.org","78702","1","2016","map","NPA_org","1009 E 11Th St
Austin, TX 
(30.269389, -97.73059)"
"Burgundy Woods Dj Entertainment","Business","Service & Support Business","Music"," Music"," "," "," "," "," ","78739","0","2014","list","SIAP","
Austin, TX 
(0.0, 0.0)"
"Andrea Ariel Dance Theatre","Organization","Dance Company","Dance"," "," "," "," ","Ariel Dance Theatre is devoted to cultivating multi-disciplinary and cross-cultural collaborations, and to bridging the creation of new work with our Interactive Arts Community Projects. These projects strive to connect the creative arts with communities","http://www.arieldance.org/intro.html","78767","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"Outreach Librarians","Organization","Education, Creative Learning, Professional Development","Literary Arts"," Literature"," "," "," "," Our goal for the site: To share our creative ideas about books, and to accept your creative input about books. Any book is good, as long as it has a creative component.","http://www.outreachlibrarians.org","78660","1","2016","map","NPA_org","4700 Loyola
Austin, TX 
(30.309655, -97.666132)"
"Movieart Original Film Posters","Business","Supplier, Retail","Film/TV/Media"," Media"," "," "," "," "," ","78765","0","2014","list","SIAP","
Austin, TX 
(0.0, 0.0)"
"Collings Guitars","Business","Supplier, Retail","Music"," Music"," "," "," "," "," ","78737","0","2014","map","SIAP","11210 W Highway 290
Austin, TX 
(30.220336, -97.959038)"
"Ceres Park Ranch","Event Venue","Event Venue","Music"," "," ","Event Venue"," ","Ceres Park Ranch encompasses hundreds of acres of preserved land in Central Texas and is only minutes from downtown Austin. With a growing olive orchard, distinctive pavilion and now Jester King Craft Brewery, this vital ranch will amaze you with countle","http://cerespark.com/","78736","0","2016","map","TMO_16","13005 Fitzhugh Road
Austin, TX 
(30.231259, -97.99858)"
"Latin at Heart Music","Organization","Band, Musical Group, Ensemble","Music"," "," "," "," ","Latin at Heart is a six-piece concept rock band with songs about love, passion, and heartbreak delivered in an intense, musically exhilarating package.


""There could not be a more fitting name for the Austin band, Latin at Heart. This group of fine","http://www.latinatheart.com","0","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"Lady of Guadalupe Church","House of Worship","House of Worship","Other"," "," "," "," "," ","http://www.olgaustin.org/","78702","1","2016","map","D1 Meeting","1206 E 9th St
Austin, TX 
(30.267005, -97.727555)"
"Creative Services","Business","Service & Support Business","Literary Arts"," Literature"," "," "," "," "," ","78715","0","2014","list","SIAP","
Austin, TX 
(0.0, 0.0)"
"University of Texas Libraries","Library","Library","Other"," Museum"," "," "," "," "," ","78712","1","2014","map","SIAP","2306 Trinity St
Austin, TX 
(30.285446, -97.733073)"
"Grace Photography","Business","Photographer/ Photo Studio","Photography"," Photo"," "," "," "," "," ","78750","0","2014","list","SIAP","
Austin, TX 
(0.0, 0.0)"
"One Ounce Opera","Organization","Theater Company","Music"," "," "," "," ","“This is no aloof snootfest – this is Austin-style live music that can make your heart go like a roman candle…” -Austin Chronicle","http://www.oneounceopera.com","78703","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"Austin Soundwaves","Organization","Education, Creative Learning, Professional Development","Music"," "," "," "," ","Austin Soundwaves provides high quality music education to artistically-underserved youth as a means to strengthen resiliency and awaken intrinsic motivation to learn, create, and achieve. We envision a world where every child has access to music and int","http://http://www.hispanicallianceaustin.org/","78755","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"Book A Band","Business","Service & Support Business","Music"," Music"," "," "," "," "," ","78754","0","2014","map","SIAP","3402 Ferguson Ln
Austin, TX 
(30.337448, -97.653022)"
"Flatbed Press Studio and Gallery","Gallery/ Museum","Gallery","Graphic Design, Printmaking"," "," "," "," ","Enjoy original works of art at the Flatbed Press gallery. The Flatbed Press collaborates with artists to showcase limited editions of original etchings, lithographs, woodcuts, and monoprints.","http://www.flatbedpress.com","78702","1","2016","map","SIAP","2830 E Martin Luther King Blvd
Austin, TX 
(30.281754, -97.71104)"
"Travis Tank Photography","Business","Photographer/ Photo Studio","Photography"," Photo"," "," "," "," "," ","78717","0","2014","map","SIAP","16116 Braesgate Dr
Austin, TX 
(30.500858, -97.745291)"
"Shauna D Mora Photography","Business","Photographer/ Photo Studio","Photography"," Photo"," "," "," "," "," ","78757","0","2014","list","SIAP","
Austin, TX 
(0.0, 0.0)"
"The Dig Pub","Restaurant","Restaurant","Culinary Arts"," "," "," "," "," ","http://thedigpub.com/","78613","0","2016","map","D2 Meeting","401 Cypress Creek Road
Austin, TX 
(30.497826, -97.821009)"
"Afro Caribbean Collective Soul","Organization","Band, Musical Group, Ensemble","Dance","Authentic Cuban Music Band and Dancers"," "," "," "," "," ","0","0","2016","list","CAMP KIT","
Austin, TX 
(0.0, 0.0)"
"Austin Poetry Slam Council","Organization","Event/ Festival","Literary Arts"," "," "," "," ","The Austin Poetry Slam is dedicated to honoring the Austin community by providing and promoting poetry and its performance in a manner that engages, challenges, celebrates, and supports both artist and audience.","http://www.austinslam.com","0","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"Emergency Service Pipes And Drums Association (Espada)","Organization","Band, Musical Group, Ensemble","Music"," Music"," "," "," ","performing band, private lessons","http://espadatx.org","78704","0","2014","list","SIAP","
Austin, TX 
(0.0, 0.0)"
"Pottery By Brimberry","Creative Workspace","Individual Studio, Workshop","Craft/Design"," Craft"," "," "," "," "," ","78733","0","2014","list","SIAP","805 N Tumbleweed Trl
Austin, TX 
(0.0, 0.0)"
"Austin Handbell Ensemble","Organization","Band, Musical Group, Ensemble","Music"," Music"," "," "," ","community handbell choir","http://www.austinhandbells.org/events/","78703","0","2014","list","SIAP","
Austin, TX 
(0.0, 0.0)"
"Austin Civic Players","Organization","Theater Company","Theater Arts"," "," "," "," ","A newly formed non-profit theatre company dedicated that community theater is for everybody. And for fun! ACP produces plays, holds workshops, and reading circles for both established & original works","http://civicplayers.tripod.com/","0","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
"Company Theatre","Organization","Theater Company","Theater Arts"," "," "," "," ","The Company Theatre presents shows year-round for people of all ages to enjoy.","http://www.thecompanytheatre.org","0","0","2016","list","NPA_org","
Austin, TX 
(0.0, 0.0)"
