"asset_name","asset_type","asset_notes","live_music","event_venu","discipline","web_notes","website","council_district","coa_facility","mapkey","date_updat","map_list","source","location_1"
"D B Talent","Business","Talent Management"," "," ","Theater Arts"," "," ","8"," ","8054","2014","xy","SIAP","10606 Londonshire Ln
Austin, TX 78739
(30.191972, -97.888202)"
"D Berman Gallery","Gallery/ Museum","Gallery/ Museum"," "," ","Visual Arts","D. Berman Gallery specializing in contemporary American painting, sculpture, and photography, is located in the 1930 Chapline Building. D. Berman Gallery is a contemporary urban exhibition space that preserves the Commercial Deco feel of the historic bui","www.dbermangallery.com","9"," ","9221","2016","xy","NPA_org","1701 Guadalupe Street
Austin, TX 78701
(30.279688, -97.741974)"
"D Printing Group","Business","Commercial Printing"," "," ","Graphic Design, Printmaking"," "," ","3"," ","3352","2014","xy","SIAP","4618 Englewood Dr
Austin, TX 78745
(30.218859, -97.777838)"
"D T W Art & Framing","Business","Service & Support Business"," "," ","Visual Arts"," "," ","9"," ","9374","2014","xy","SIAP","315 S Congress Ave
Austin, TX 78704
(30.258792, -97.746164)"
"DA! Theatre Collective","Organization","Arts Collective"," "," ","Multidisciplinary","DA means “yes” in Russian. Yet DA! is more than a word and more than a company; it is a way of life. Rooted in contemporary Russian acting and movement theory, DA! is a desire to explore our outer limits and our inner core. DA! is more than o","http://www.datheatrecollective.org","9"," ","9621","2016","xy","NPA_org","511 W 43Rd Street
Austin, TX 78751
(30.308032, -97.733737)"
"DaDo Theatre","Organization","Theater Company"," "," ","Theater Arts","DaDo Theatre is the company for Don and David Fried to present their work.","http://www.donfriedwriter.com","4"," ","4114","2016","xy","NPA_org","10106 Pond View Circle
Austin, TX 78753
(30.361274, -97.673866)"
"Daily Texan, UT Communication Foundation","Publication","Print Publication"," "," ","Film/TV/Media"," "," ","9"," ","9449","2014","addrs","SIAP","2500 Whitis Ave
Austin, TX 78705
(30.288701, -97.740437)"
"Dale Rempert Photography","Business","Photographer/ Photo Studio"," "," ","Photography"," "," ","7"," ","7126","2014","xy","SIAP","5906 Cary Dr
Austin, TX 78757
(30.336761, -97.747133)"
"Dalton Publishing","Organization","Book Publishers"," "," ","Literary Arts","Dalton Publishing, an independent press based in Austin, Texas, adheres to the highest editorial and printing standards, while respecting the cutting-edge visions of its world-class stable of authors. Through a model of support, marketing, publicity, and","http://www.daltonpublishing.com","0"," ","611","2016","list","NPA_org","
Austin, TX 78767
(0.0, 0.0)"
"Damon Leo Photography","Business","Photographer/ Photo Studio"," "," ","Photography"," "," ","0"," ","465","2014","xy","SIAP","3102 Bee Caves Rd
Austin, TX 78746
(30.272965, -97.797793)"
"Dance Across Texas","Bar/Club/Venue","Bar/Club/Venue","Live Music"," ","Music","BIGGEST DANCE FLOOR IN CENTRAL TEXAS","danceatx.com","2"," ","2125","2016","xy","CAMP KIT","2201 E. Ben White
Austin, TX 78741
(30.215336, -97.74232)"
"Dance Africa Fest/(PAC)","Creative Workspace","Dance Studio"," "," ","Dance","Dance studio and activity room"," ","9"," ","9809","2016","notmapped","CAMP KIT","1500 Barbara Jordan Blvd
Austin, TX 78723
(30.304336, -97.702996)"
"Gallarieint Wax","Gallery/ Museum","Gallery/ Museum"," "," ","Visual Arts"," "," ","0"," ","280","2016","list","SIAP","
Austin, TX 78723
(0.0, 0.0)"
"Dance Another World","Organization","Dance Company"," "," ","Dance","Dance Another World is an English language immersion program, taught through dance. In addition to dance and English, we learn respect for our bodies, our souls, our minds and our community. Dance Another World is offered as an after-school program in th","http://DanceAnotherWorld.org","7"," ","7272","2016","xy","NPA_org","12126 Scribe Dr
Austin, TX 78759
(30.414931, -97.713772)"
"Dance Associates","Creative Workspace","Dance Studio"," "," ","Dance"," "," ","7"," ","7054","2016","xy","SIAP","831 Houston St
Austin, TX 78756
(30.323236, -97.728781)"
"Dance Austin Studio","Creative Workspace","Dance Studio"," "," ","Dance","Dance Austin is a unique dance and fitness studio designed for all ages, levels, and styles! We provide personalized and comprehensive training to both the professional and recreational dancer as well as the fitness enthusiast. We pride ourselves on offe","http://www.danceaustinstudio.com/","10"," ","10049","2016","xy","SIAP","9011 Research Blvd Suite C-5
Austin, TX 78731
(30.345829, -97.765628)"
"Dance Dance By Carly","Creative Workspace","Dance Studio"," "," ","Dance"," "," ","5"," ","5183","2016","xy","SIAP","2110 W Slaughter Ln
Austin, TX 78748
(30.174134, -97.826648)"
"Dance Discovery","Creative Workspace","Dance Studio"," "," ","Dance"," "," ","10"," ","10007","2016","xy","SIAP","404 Atlanta St
Austin, TX 78703
(30.276749, -97.771156)"
"Dance Discovery (Avery Ranch)","Creative Workspace","Dance Studio"," "," ","Dance"," "," ","6"," ","6004","2016","xy","SIAP","10526 W Parmer Ln
Austin, TX 78717
(30.497125, -97.774806)"
"Dance Discovery Studio","Creative Workspace","Dance Studio"," "," ","Dance"," "," ","7"," ","7094","2016","xy","SIAP","2110 White Horse Trail
Austin, TX 78757
(30.33892, -97.740829)"
"Dance Institute","Creative Workspace","Dance Studio"," "," ","Dance"," "," ","10"," ","10040","2016","xy","SIAP","6612 Sitio Del Rio Blvd
Austin, TX 78730
(30.390599, -97.843246)"
"Dance International","Creative Workspace","Dance Studio"," "," ","Dance","Dance international is a non-profit 501-3C organization dedicated to enhancing and broadening the lives of both our youth and adult participants. Valuable lessons in cooperation, collaboration, respect, awareness and self-discipline are the cornerstones"," ","10"," ","10159","2016","xy","SIAP","5603 Barker Ridge Dr
Austin, TX 78759
(30.407683, -97.755876)"
"Dance Line","Creative Workspace","Dance Studio"," "," ","Dance"," "," ","9"," ","9450","2016","xy","SIAP","502 W 30Th St
Austin, TX 78705
(30.296516, -97.741475)"
"Dance Party Austin","Organization","Dance Company"," "," ","Dance","Zumba special events, currently at Dallas Night Club on Thursday nights.","http://www.facebook.com/#!/pages/Dance-Party-Austin/170860362942330","7"," ","7185","2016","xy","NPA_org","7113 Burnet Road
Austin, TX 78757
(30.347434, -97.735879)"
"Dance U2","Creative Workspace","Dance Studio"," "," ","Dance"," "," ","7"," ","7055","2016","xy","SIAP","2211 Lawnmont Ave
Austin, TX 78756
(30.327785, -97.741366)"
"Dance Umbrella","Organization","Dance Company"," "," ","Dance","Dance Umbrella believes that dance helps describe, define, and deepen the experience of living. Dance Umbrella believes that dance is a kinetic form of communication, which includes all forms of movement and physical expression. Dance Umbrella facilitate","danceumbrella.com","9"," ","9498","2016","xy","NPA_org","3710 Cedar
Austin, TX 78705
(30.300818, -97.735213)"
"Dance Waterloo","Organization","Dance Company"," "," ","Dance","Dance Waterloo is a sponsored project of Austin Creative Alliance. Our mission is to cultivate, create, perform interdisciplinary methods of dance through public spaces, collaboration, community, and education.
","http://www.dancewaterloo.org","0"," ","499","2016","list","NPA_org","
Austin, TX 78749
(0.0, 0.0)"
"Dance Xplosion","Creative Workspace","Dance Studio"," "," ","Dance"," "," ","8"," ","8120","2016","addrs","SIAP","9600 Escarpment Blvd
Austin, TX 78749
(30.21162, -97.85184)"
"Dancers Workshop","Creative Workspace","Dance Studio"," "," ","Dance","A rich history of tradition is the legacy Dancers Workshop's Dance Studio of Austin has offered to countless dancers in the Central Texas Area. Six studios with free-floating hardwood floors, wall-to-wall mirrors, and observation windows provide a beauti","http://www.dancersworkshopaustin.com","10"," ","10160","2016","xy","SIAP","11150 Research Blvd
Austin, TX 78759
(30.407895, -97.745874)"
"Dancin Jazzi","Creative Workspace","Dance Studio"," "," ","Dance"," "," ","7"," ","7211","2016","xy","SIAP","1921 Cedar Bend Dr
Austin, TX 78758
(30.40806, -97.697333)"
"Dancing Figures","Public Art","Public Art-Community Initiated"," "," ","Visual Arts"," "," ","4"," ","4182","2016","xy","D4_Meeting","1513 Kramer Lane
Austin, TX 78758
(30.384301, -97.701244)"
"Daniel H. Caswell House","Event Venue","Event Venue"," ","Event Venue","Other","Austin Junior Forum (AJF) is a non-profit volunteer organization supporting women, children and the elderly in the Austin area through community service and fund raising. 

AJF serves the community in many different ways from hands on community service t","http://www.austinjuniorforum.org","9"," ","9149","2016","xy","NPA_ven","1404 West Avenue
Austin, TX 78701
(30.278324, -97.747933)"
"Diamond Comic Dist Alliance","Business","Bookstore, Book Dealers"," "," ","Literary Arts"," "," ","1"," ","1257","2014","xy","SIAP","9300 Brown Ln
Austin, TX 78754
(30.348882, -97.671982)"
"Danny G. McBeth Recreation Center, City Of Austin, Parks & Recreation","Recreation/Community Center","Recreation/ Community Center"," ","Event Venue","Other","Danny G. McBeth Recreation Center is located in Zilker Park. The center was named after Danny G. McBeth who was active in advocating for rights and services for the disabled community. In operation since February 1986, the McBeth Recreation Center provid","http://www.ci.austin.tx.us/parks/mcbeth.htm","8","COA","8106","2016","xy","NPA_ven","2401-A Columbus Dr
Austin, TX 78746
(30.266784, -97.777218)"
"Dante Press","Business","Book Publishers"," "," ","Literary Arts"," "," ","8"," ","8039","2014","xy","SIAP","7809 Williamson Creek Dr
Austin, TX 78736
(30.244397, -97.916117)"
"Dart Music International","Organization","Arts Advocacy & Support Orgs"," "," ","Music","Dart Music International (DMI) is a 501(c)(3) nonprofit organization that works to increase cross-cultural musical interchange while assisting international artists in capitalizing on their investment of traveling to Texas. Austin has become an important","http://dartmusicinternational.org","9"," ","9421","2016","xy","NPA_org","2215 Post Road
Austin, TX 78704
(30.241055, -97.751395)"
"Daughters Of The Republic Of Texas Inc","Organization","Historical Societies & Historic Preservation"," "," ","Theater Arts"," "," ","0"," ","486","2014","xy","SIAP","1124 Pinehurst Dr
Austin, TX 78747
(30.11826, -97.74954)"
"Daughters Of The Republic Of Texas Inc","Organization","Historical Societies & Historic Preservation"," "," ","Visual Arts"," ","http://www.drtinfo.org","1"," ","1244","2014","xy","SIAP","806 Floradale Dr
Austin, TX 78753
(30.366282, -97.681541)"
"David F Montgomery Photography","Business","Photographer/ Photo Studio"," "," ","Photography"," "," ","7"," ","7221","2014","xy","SIAP","11704 Knollpark Dr
Austin, TX 78758
(30.389579, -97.692295)"
"David Group","Business","Advertising, Marketing"," "," ","Graphic Design, Printmaking"," "," ","10"," ","10042","2014","xy","SIAP","6101 W Courtyard Dr
Austin, TX 78730
(30.355016, -97.797405)"
"David Neuse Photography","Business","Photographer/ Photo Studio"," "," ","Photography"," "," ","3"," ","3242","2014","xy","SIAP","3601 S Congress Ave
Austin, TX 78704
(30.227749, -97.760657)"
"David Omer Photography","Business","Photographer/ Photo Studio"," "," ","Photography"," "," ","9"," ","9599","2014","xy","SIAP","4520 Duval St
Austin, TX 78751
(30.308094, -97.724266)"
"David Perkoff Music","Business","Service & Support Business"," "," ","Music"," "," ","7"," ","7127","2014","xy","SIAP","1001 Stobaugh St
Austin, TX 78757
(30.347196, -97.716085)"
"David Santos Sculpture","Public Art","Public Art-Community Initiated"," "," ","Visual Arts"," "," ","9"," ","9679","2016","addrs","D9 Meeting","12th St
Austin, TX 78701
(30.271567, -97.741886)"
"David Vernon Photography","Business","Photographer/ Photo Studio"," "," ","Photography"," "," ","8"," ","8040","2014","xy","SIAP","8104 Kirkham Dr
Austin, TX 78736
(30.237757, -97.891896)"
"Davis Gallery","Gallery/ Museum","Gallery/ Museum"," "," ","Visual Arts","Davis Gallery serves as a home to many of the best local and regional painters, printmakers, sculptors and ceramicists. It is a friendly setting for contemplation and conversation through fine contemporary art. The permanent on-site collection of works f","http://www.davisgalleryaustin.com","9"," ","9166","2016","xy","SIAP","837 W 12Th St
Austin, TX 78701
(30.2759, -97.749092)"
"Davis Mc Larty Agency","Business","Service & Support Business"," "," ","Music"," "," ","8"," ","8016","2014","xy","SIAP","4609 Eagle Feather Dr
Austin, TX 78735
(30.242598, -97.830009)"
"Dawn to Dusk by Rene Anguiano","Public Art","Art in Public Places Commission"," "," ","Visual Arts","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","3","COA","3407","2016","xy","AIPP","2831-2883 E 7th St
Austin, TX 78702
(30.259081, -97.708902)"
"Dawn Winter Studio","Creative Workspace","Individual Studio, Workshop"," "," ","Visual Arts","Studio space for local artist, Dawn Winter, who creates contemporary and abstract paintings.","www.dawnwinter.net","8"," ","8162","2016","xy","Wikimap","4201 Monterey Oaks Blvd
Austin, TX 78749
(30.227925, -97.833939)"
"de stijl | PODIUM FOR ART","Gallery/ Museum","Gallery/ Museum"," "," ","Visual Arts"," ","http://www.destijlaustin.com/","10"," ","10002","2016","xy","SBurton","1006 West 31St Street
,  0
(30.300543, -97.746287)"
"Dean Fredrick Custom Jewelry","Creative Workspace","Individual Studio, Workshop"," "," ","Textile/Apparel"," "," ","5"," ","5003","2014","xy","SIAP","1623 South Lamar
Austin, TX 78704
(30.250632, -97.765307)"
"Deborah Hay Dance Co","Organization","Dance Company"," "," ","Dance","The Deborah Hay Dance Company's mission is to foster a discerning appreciation for the human body within the cultural construct of contemporary society, through dance as experienced by audience, student, and/or performer. Central to this mission is the r","http://www.deborahhay.com","9"," ","9422","2014","xy","SIAP","1703 Alta Vista Ave
Austin, TX 78704
(30.243962, -97.742903)"
"Deborah Peacock Photography","Business","Photographer/ Photo Studio"," "," ","Photography"," "," ","9"," ","9290","2014","xy","SIAP","722 Patterson Ave
Austin, TX 78703
(30.278638, -97.765874)"
"Debutantes & Vagabonds","Organization","Theater Company"," "," ","Theater Arts","Debutantes & Vagabonds explore and build connections within society at large. We seek to bridge the divide between art, our audience, and Austin's own business and creative communities. We hope to reinvigorate theatre by incorporating performance element"," ","9"," ","9622","2016","xy","NPA_org","4625 Depew Ave
Austin, TX 78751
(30.306046, -97.717294)"
"Deep Eddy Mural Project by Wanda Montemayor, Lisa Kay Orr","Public Art","Art in Public Places Commission"," "," ","Visual Arts","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","10","COA","10245","2016","xy","AIPP","401 Deep Eddy Ave
Austin, TX 78703
(30.277201, -97.772897)"
"Deep Eddy Pool","Public Park","Public Park"," "," ","Other","Deep Eddy Pool is the oldest swimming pool in Texas and offers lap swimming, a wading pool, and pool-side movies during the summer.","http://www.ci.austin.tx.us/parks/parkdirectory.htm","10"," ","10021","2016","xy","NPA_ven","401 Deep Eddy Avenue
Austin, TX 78703
(30.277444, -97.772648)"
"Dell Jewish Community Campus","Recreation/Community Center","Recreation/ Community Center"," ","Event Venue","History, Culture, Heritage","The Jewish Community Association of Austin (JCAA) was formed through a marriage of the Jewish Federation, Jewish Community Center, and Jewish Family Service. 

Located primarily on the 40-acre Dell Jewish Community Campus, the JCAA provides a vast array","www.jcaaonline.org	","10"," ","10107","2016","xy","NPA_ven","7300 Hart Lane
Austin, TX 78731
(30.356987, -97.755341)"
"Delores Duffie Recreation Center, City Of Austin, Parks & Recreation","Recreation/Community Center","Recreation/ Community Center"," ","Event Venue","Other"," ","http://www.austintexas.gov/tcta","1","COA","1121","2014","xy","SIAP","1182 North Pleasant Valley Rd
Austin, TX 78702
(30.273088, -97.713999)"
"Delpfine Welch Designs","Creative Workspace","Individual Studio, Workshop"," "," ","Textile/Apparel"," "," ","1"," ","1237","2016","xy","SIAP","1201 Newport Ave
Austin, TX 78753
(30.363553, -97.675046)"
"East Side Tone","Business","Recording Studio"," "," ","Music"," "," ","3"," ","3382","2016","xy","Srempe","301 Chicon St
Austin, TX 78702
(30.258984, -97.723453)"
"Delta Millworks","Gallery/ Museum","Gallery/ Museum"," "," ","Visual Arts","Delta Millworks offers wood products and millwork services in Central Texas. Founded in 1985.","deltamillworks.com/","3"," ","3154","2016","xy","NPA_ven","4701 East 5Th Street
Austin, TX 78702
(30.252719, -97.700741)"
"Dennis Fagan Photographer","Business","Photographer/ Photo Studio"," "," ","Photography"," "," ","10"," ","10104","2014","xy","SIAP","1601 W 38Th St
Austin, TX 78731
(30.308494, -97.749999)"
"Depo Texas","Business","Video Production"," "," ","Film/TV/Media"," "," ","4"," ","4045","2014","xy","SIAP","1016 La Posada Dr
Austin, TX 78752
(30.32577, -97.702729)"
"Design 30","Business","Graphic Design Services"," "," ","Graphic Design, Printmaking"," "," ","8"," ","8125","2014","xy","SIAP","6011 Open Range Trl
Austin, TX 78749
(30.22101, -97.867354)"
"Design Center at Penn Field","Event Venue","Event Venue"," "," ","Craft/Design","The Design Center of Austin (DCA) is Austin's first and most unique design center. It is a collection of specialty showrooms open to both the public and the trade, focused on design and finishes for the built environment.","http://www.designcenterofaustin.com","3"," ","3227","2016","addrs","NPA_org","3601 South Congress
Austin, TX 78704
(30.227749, -97.760657)"
"Desiree Keelty Photography","Business","Photographer/ Photo Studio"," "," ","Photography"," "," ","0"," ","412","2014","xy","SIAP","11904 Jess Dr
Austin, TX 78737
(30.193621, -97.932237)"
"Detour Film Production","Business","Video Production"," "," ","Film/TV/Media"," "," ","9"," ","9577","2014","xy","SIAP","1901 E 51St St
Austin, TX 78723
(30.304879, -97.701594)"
"D'Ette & Co Dancers","Creative Workspace","Dance Studio"," "," ","Dance"," "," ","5"," ","5184","2016","xy","SIAP","1807 W Slaughter Ln
Austin, TX 78748
(30.173406, -97.821546)"
"Deuce Gates by Martha Gannon","Public Art","Art in Public Places Commission"," "," ","Visual Arts","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","1","COA","1301","2016","xy","AIPP","7800 Johnny Morris Rd
Austin, TX 78724
(30.312718, -97.63879)"
"Dewitt Productions","Business","Video Production"," "," ","Film/TV/Media"," "," ","9"," ","9375","2014","xy","SIAP","1018 Bonham Ter
Austin, TX 78704
(30.245852, -97.740669)"
"Di Performing Arts Inc","Event Venue","Event Venue"," "," ","Theater Arts"," "," ","10"," ","10045","2014","xy","SIAP","3605 Chalkstone Cv
Austin, TX 78730
(30.353605, -97.844193)"
"Dick Nichols Park","Public Park","Public Park"," "," ","Other","Community park in Austin, Texas","http://www.austinparks.org/apfweb/park.php?parkId=238","8"," ","8155","2016","xy","NPA_ven","8011 Beckett Rd
Austin, TX 78749
(30.214998, -97.862986)"
"Dick Price Fan Club","Organization","Historical Societies & Historic Preservation"," "," ","Other","Dedicated to preserving and celebrating the work of Dick Price."," ","10"," ","10149","2016","xy","NPA_org","3902 Seiders Ave
Austin, TX 78756
(30.309246, -97.747925)"
"Different Stages","Organization","Theater Company"," "," ","Theater Arts","Founded in 1980 as the Small Potatoes Theatrical Company, Different Stages was given its current name in 1984 when its founders incorporated the organization as a nonprofit organization.  They have produced numerous plays from romantic to neo-classic to","http://www.main.org/diffstages/","1"," ","1187","2014","xy","SIAP","6205 Haney Dr
Austin, TX 78723
(30.313097, -97.683773)"
"Digital City Designs","Business","Graphic Design Services"," "," ","Graphic Design, Printmaking"," "," ","10"," ","10035","2014","xy","SIAP","4815 W Braker Ln
Austin, TX 78720
(30.400295, -97.747843)"
"Digital Domain","Business","Recording Studio"," "," ","Multidisciplinary"," "," ","3"," ","3243","2014","xy","SIAP","3601 S Congress Ave
Austin, TX 78704
(30.227749, -97.760657)"
"Digital Letterpress","Business","Commercial Printing"," "," ","Graphic Design, Printmaking"," "," ","1"," ","1161","2014","xy","SIAP","1906 Miriam Ave
Austin, TX 78722
(30.281446, -97.711869)"
"Digital Story Lab Inc","Organization","Education, Creative Learning, Professional Development"," "," ","Technology","Digital Story Lab Inc., (DSL) uses digital media to capture individual lived experiences and personal stories in order to share these narratives for individual and communal learning, transformation, growth, and development with an underlying focus on inc","http://digitalstorylab.org/","4"," ","4078","2014","xy","SIAP","111 W Anderson Ln
Austin, TX 78752
(30.344081, -97.706593)"
"Digital Voodoo","Business","Recording Studio"," "," ","Multidisciplinary"," "," ","6"," ","6079","2014","xy","SIAP","13809 Panorama Dr
Austin, TX 78732
(30.418177, -97.88621)"
"Digitribe Training & Deposition Videos","Business","Video Production"," "," ","Film/TV/Media"," "," ","8"," ","8126","2014","xy","SIAP","5306 Beckett Cir
Austin, TX 78749
(30.222303, -97.855202)"
"Dillingerilla Studios","Creative Workspace","Film Studio"," "," ","Film/TV/Media","TV Studios for filming shows. The Studio that Tom Booker often uses for his Commercial Audition Workshops"," ","3"," ","3230","2016","xy","NPA_ven","3708 Woodbury Drive
Austin, TX 78704
(30.225688, -97.75985)"
"Dimension Gallery","Gallery/ Museum","Gallery/ Museum"," "," ","Visual Arts"," "," ","3"," ","3032","2016","xy","SBurton","979 Springdale
,  0
(30.265025, -97.695548)"
"Dinner Detective Austin","Event/ Festival","Event/ Festival"," "," ","Theater Arts","New to downtown Austin, The Dinner Detective is Austin's premiere interactive murder mystery dinner theater show. With franchises across the U.S., The Dinner Detective is excited to bring it's unique brand of engaging dinner entertainment to Austin.","http://www.dinnerdetective.com","8"," ","8089","2016","xy","NPA_org","1036 Liberty Park Drive
Austin, TX 78746
(30.266151, -97.788549)"
"Direct Events","Business","Service & Support Business"," "," ","Music","Direct Events is a driving force in the Austin music and exclusive private party scene. Tim O'Connor owns The Backyard and The Glen, and his company, Direct Events, manages these venues in addition to Austin Music Hall and La Zona Rosa. In addition to pr","http://www.directevents.net","0"," ","427","2014","xy","SIAP","13101 Hwy 71 West
Austin, TX 78738
(30.308269, -97.948183)"
"Don Miller on KOKE Fm","Organization","Radio Station"," "," ","Film/TV/Media"," ","http://kokefm.com/contact/","8"," ","8066","2016","addrs","D3 Meeting","912 S Capital of Texas hwy
Austin, TX 78746
(30.290859, -97.828429)"
"Dirigo Group","Organization","Theater Company"," "," ","Theater Arts","The Dirigo Group is an Austin based theatre company that features proactive, impassioned productions for its audiences.  Founded in 1999 by a group of artists from around the world gathered in Austin in search of a project, the Dirigo Group has worked wi","http://www.thedirigogroup.com/","0"," ","57","2016","list","NPA_org","
Austin, TX 0
(0.0, 0.0)"
"Dirty Dog","Bar/Club/Venue","Bar/Club/Venue","Live Music"," ","Music","Austin's only live music sports bar with an extreme sports theme.  Featuring three 8 foot screens and multiple TV's placed throughout the bar, all showing extreme sports and other big games.","http://www.dirtydogbar.com","9"," ","9049","2016","xy","NPA_ven","505 East 6Th Street
Austin, TX 78701
(30.266501, -97.738276)"
"Dirty Easel","Business","Event Production"," "," ","Visual Arts","The Dirty Easel is Austin's mobile painting studio. We host:Public Painting Events
Private Painting Parties
Corporate Parties and Team Building Events","https://thedirtyeasel.com","0"," ","548","2016","list","NPA_org","
Austin,  78759
(0.0, 0.0)"
"Discoteca Sanchez","Business","Supplier, Retail"," "," ","Music"," ","https://www.facebook.com/discotecasanchezinc/","4"," ","4184","2016","notmapped","CAMP KIT","7309 Cameron Rd
Austin, TX 78752
(30.328211, -97.690266)"
"Discovery by Will Larson","Public Art","Art in Public Places Commission"," "," ","Visual Arts","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","3","COA","3408","2016","xy","AIPP","1600 Grove Blvd
Austin, TX 78741
(30.229862, -97.707011)"
"Dittmar Recreation Center, City Of Austin, Parks & Recreation","Recreation/Community Center","Recreation/ Community Center"," ","Event Venue","Other"," "," ","2","COA","2065","2016","xy","NPA_ven","1009 W. Dittmar Rd 
Austin, TX 78745
(30.18526, -97.801971)"
"Divergence Vocal Theatre","Organization","Band, Musical Group, Ensemble"," "," ","Theater Arts","Re-imagining opera. Boundary-defying performances featuring historic and new opera, art song, piano works, theater, dance, and multimedia arts. Fearless contemporary staging, a progressive attitude to repertoire selection, and an exciting fusion of inter","http://www.divergencevocaltheater.org/","0"," ","58","2016","list","NPA_org","
,  0
(0.0, 0.0)"
"Diverse Space Dance/Theatre","Organization","Dance Company"," "," ","Dance","Diverse Space Dance/Theatre is committed to diversity of: cultural influences, performance techniques, and performance spaces, and determined to promote social responsibility and connectedness in the Human experience.","http://www.diversespacedance.com","0"," ","59","2016","list","NPA_org","
Austin, TX 0
(0.0, 0.0)"
"DiverseArts","Organization","Historical Societies & Historic Preservation"," "," ","Multidisciplinary","The broad mission of DiverseArts Production Group is to promote and expand cultural awareness and appreciation of the arts in Austin, Texas. Through various component projects, DiverseArts addresses the arts, in general, with a view that is multicultural","http://www.diversearts.org/home.html","3"," ","3176","2016","xy","NPA_org","1601 East 5Th Street
Austin, TX 78702
(30.260518, -97.723195)"
"Diversearts Culture Works","Gallery/ Museum","Gallery/ Museum"," "," ","Visual Arts","The broad mission of DiverseArts Production Group is to promote and expand cultural awareness and appreciation of the arts in Austin, Texas. Through various component projects the gallery address the arts, in general, with a view that is multicultural an","www.diversearts.org/home.html","3"," ","3155","2016","xy","SIAP","1601 E 5Th St
Austin, TX 78702
(30.260518, -97.723195)"
"Dizzy Rooster","Bar/Club/Venue","Bar/Club/Venue","Live Music"," ","Music","Maybe it's to dance along with countless others on top of the bar or on our packed dance floor.  Maybe it's because you would like to be serenaded on your bachelorette/bachelor party by our notorious MC a/k/a DJ Veg.  Maybe it's because you just HAVE to","http://www.dizzyrooster.com","9"," ","9050","2016","xy","NPA_ven","306 East 6Th Street
Austin, TX 78701
(30.267624, -97.740176)"
"Dlc Designs","Creative Workspace","Individual Studio, Workshop"," "," ","Craft/Design"," "," ","8"," ","8062","2016","xy","SIAP","8103 Brodie Ln
Austin, TX 78745
(30.202433, -97.837309)"
"Doberenz Photography","Business","Service & Support Business"," "," ","Film/TV/Media"," "," ","0"," ","490","2014","list","SIAP","3116 Frock Ct
Austin, TX 78748
(0.0, 0.0)"
"Doctor Pangloss by Sandra Fiedorek, David Heymann","Public Art","Art in Public Places Commission"," "," ","Visual Arts","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","2","COA","2087","2016","xy","AIPP","2514 Business Center Dr
Austin, TX 78744
(30.213491, -97.737668)"
"Doctuh Mistuh Productions","Organization","Theater Company"," "," ","Theater Arts","Doctuh Mistuh Productions is committed to bringing cutting edge musical theatre from Broadway and Off-Broadway to the stages of Austin.","http://doctuhmistuh.org","4"," ","4140","2016","xy","NPA_org","9209 Quail Field Dr
Austin, TX 78758
(30.363313, -97.700851)"
"Dog & Duck Pub","Bar/Club/Venue","Bar/Club/Venue","Live Music"," ","Music","Locally owned and operated since 1990, the Dog & Duck Pub occupies an old building filled with ambience that includes a pressed tin ceiling, mahogany bar, pub-couch seating, and hardwood floors.","http://www.dogandduckpub.com","1"," ","1066","2016","xy","NPA_ven","2400 Webberville Rd
Austin, TX 78702
(30.262986, -97.714927)"
"Dogtrick Studios","Business","Graphic Design Services"," "," ","Graphic Design, Printmaking"," "," ","0"," ","373","2014","xy","SIAP","14264 Hunters Pass
Austin, TX 78734
(30.377226, -97.921963)"
"Dogwood","Bar/Club/Venue","Bar/Club/Venue","Live Music"," ","Music","The Dogwood's patio may be the main feature of our bar but we offer space for over 200 people on the inside of our bar as well. We have two custom made booths for groups, a small live music stage and custom made furniture throughout. We separate the two","http://www.thedogwoodaustin.com/","9"," ","9051","2016","xy","TMO_16","715 West Sixth Street
Austin, TX 78701
(30.26989, -97.750362)"
"Don Couch Photography","Business","Photographer/ Photo Studio"," "," ","Photography"," "," ","3"," ","3105","2014","xy","SIAP","500 San Marcos St
Austin, TX 78702
(30.264306, -97.733242)"
